,speech,party,prediction
18418,"I thank the right hon Gentleman for making this point, which a number of Opposition Members from Northern Ireland have concerns about. I represent a Belfast constituency and there are massive disparities between rents in the Greater Belfast area and those in more rural constituencies. If this sort of regionalisation was driven down to a very local level, it could distort people’s ability to seek work in the city or outside it.",alliance,dup
6637,"Does my hon Friend agree that, for international disasters and other such scenarios, we are keen to include NGOs such as the Red Cross in the planning phase? Why are the Government so willing to make use of voluntary organisations for the delivery of international relief, but not when there is a crying need for them in this country?If such an emergency arose in the hon Gentleman's constituency or, indeed, mine, the primary response would probably be made by firemen, who are effectively volunteers retained for precisely that purpose. The principle is acceptable and works now, so it is a mystery why it should not work in the scenario envisaged in the Bill.My right hon Friend evidently has little faith in the ability of the state to deliver on many of its functions. Would it therefore not be agreeable to him to include the voluntary sector much more in deliberations such as we are discussing, precisely because it is rather better at many of those roles than the state turns out to be?I wish to use an analogy that might ring true for many hon Members who are present: we are all members of voluntary organisations in that we are members of political parties. I am sure that many hon Members will share my experience of the anger and frustration that can arise on our part and that of volunteers when the latter have indicated that they were willing and eager to carry out functions such as knocking people up on election day or delivering leaflets—such jobs might be highly relevant at the moment with local elections in the offing—but, because of the nature of the voluntary organisations in which we operate, no one co-ordinated them when there was a desperate need for the service that they offered. In such circumstances, there can be anger on both sides. Although the activities that we are discussing might involve voluntary action, they must be performed thoroughly professionally. We cannot possibly have a standard of delivery that falls short of that level or approaches anything like the functioning of a political party as hon Members have experienced it—hence the strength of the amendments and the new clause, which take the huge contribution and professional services of the voluntary sector and seek to include them in the consultation and planning phase. I pointed out in an intervention that we take such an approach as a matter of course in relation to the delivery of international aid. The NGOs and organisations such as the Red Cross are included in the planning of the delivery of aid in all sorts of disaster situations. That is part of the basic consultation and planning process. While we are prepared to take that approach in the delivery of international aid for disasters, I suggest that, given the expertise that is available to us, we should do the same as a matter of course with regard to the delivery of relief for contingencies. That seems perfectly sensible, and I look to the Minister to come up with a plausible argument as to why we should not take such an approach, given that we do so in international affairs. The House will recall that, when the additional chapter was delivered to the defence review—it was published before 11 September and did not, by the Government's own estimate, deal adequately with the question of asymmetric threats—its big idea was the civil contingencies reaction force, but the reality is that it exists on paper only. It simply is not adequate for the task. Even if it had been established as was proposed, the amendments of my hon Friend the Member for Newark would have been necessary but, in its absence, they are even more so.I am sure that when the Minister consults the Official Report tomorrow she will find nothing in my remarks to lead to the inference that she has drawn. Will she outline the capability of the ambulance service and the fire service specifically to deal with nuclear, biological and chemical incidents?Does my hon Friend share my dismay at the Minister's attempt to reassure us about the civil contingencies reaction forces? The example that she gave of 51  Brigade merely reinforced the fact that the numbers involved are purely notional, because anyone who happens to be a member is counted as being available, although in reality that capacity exists only on paper.",conservative,conservative
2876,"First, I congratulate and pay tribute to all hon Members who have made their maiden speeches today. I hope that I can live up to the high standard that they have set. It is a great honour for me to participate in this debate and to represent the people of Belfast, North in the House. They have done me the honour of electing me to Belfast city council and to the Northern Ireland Assembly, but it is a particular privilege and honour to be here as a Member of this House, the mother of Parliaments. I thank them for returning me with one of the largest swings recorded in Northern Ireland political history--reversing a 13,000 Ulster Unionist majority and turning it into a 6,300 majority for the Democratic Unionists. I pledge to my constituents--all my constituents--that I will work hard on their behalf and I assure them and the House that I will raise issues of concern to them and to the wider community in Northern Ireland, both in my representations to Ministers and on the Floor of the House. My predecessor, Cecil Walker, was a Member of this House for 18 years, serving from 1983. For any Member, it was a difficult task to represent a constituency in Northern Ireland through some of the worst years of violence, the troubles and civil unrest. It was even more so for a Member representing Belfast, North, which has borne a disproportionately high level of violence and deaths owing to terrorism throughout the troubles. I put on record my appreciation of Cecil Walker's service and the sacrifice that he and his family made throughout those years. I wish him well in retirement. I have had the honour and privilege not only to know Cecil but to know other former Members who represented my constituency in this House. I can think of the late Johnny McQuade, who served here as a Democratic Unionist party member between 1979 and 1983--he was Cecil Walker's predecessor. I have fond memories of Johnny McQuade, who was an ex-Chindit, who served in Her Majesty's forces and was a Shankhill road man born and bred. I now have the honour to represent that area in the House. Johnny was a man of few words but of great integrity and dedication and I am honoured to follow in his footsteps and in those of other distinguished Members for Belfast, North. One such Member was Montgomery Hyde, who was the Unionist Member of Parliament for the constituency between 1950 and 1959. One of his great claims to fame was that he was the author of a book on the life of Sir Edward Carson, the founding father of Unionism. Sir Edward served in this House with great distinction and held high office--he was eventually elevated to the other place as Lord of Appeal in Ordinary and took the title of Lord Carson of Duncairn, which is part of my constituency. He represented the area with great distinction between 1918 and 1921. I am honoured to follow in the footsteps of the founding father of Unionism. At the time when Carson represented Belfast, North, Belfast in general and the constituency in particular were at the forefront of forging strong manufacturing and trading links with other parts of the United Kingdom and the world. The constituency has a rich and diverse historical, cultural, architectural and industrial heritage. It runs from Belfast city centre to the beautiful Cave Hill country park and the famous Cave Hill itself, which is synonymous with Belfast. Any visitor to the city cannot overlook that hill, which is part of my constituency. The constituency also takes in part of Newtownabbey borough council, which includes one of the largest housing estates in Europe--the Rathcoole estate. Some of the best known landmarks are contained within the constituency, such as Belfast cathedral, Belfast castle and other places of some notoriety, such as Crumlin Road jail. Some distinguished colleagues of mine have spent some time in that jail, but it is no longer a place that receives inmates. The area is known far and wide for its artistic creativity. I am glad at the way in which the local Departments at home and the council have worked to turn the cathedral quarter into an area where cultural and artistic activities are to be encouraged and promoted. Most of all, it is an area in which there are people who care passionately and deeply about their communities and who want to build a better future. I intend to give whatever assistance I can as long as they do me the honour of sending me to this House. Belfast, North is also known for many of the worst reasons. Hon. Members will be aware that, while there are the famous landmarks that I mentioned, there are many others that scar the area. It has the highest number of so-called peace walls of any constituency in Northern Ireland--walls that divide communities for security purposes. We have lost more than 600 people in the constituency as a result of terrorist violence. The area has seen widespread movement of populations and communities. It contains some of the worst areas of economic and social deprivation in Northern Ireland, and I dare say in the entire kingdom. My job, in partnership with other people, is to try to put things right--that was our manifesto pledge to the people of Belfast, North--and that means not only the political and constitutional issues but the economic and social issues that affect our constituents so deeply. I come to the House with a clear mandate not only as a Unionist--which I am and I am proud to be--but as a campaigning Member of the House, to work for the social and economic betterment of all my constituents. Of the 20 most deprived wards in Northern Ireland, six are in north Belfast. In Crumlin ward, which is predominantly Protestant, 25.9 per cent. of people are short-term unemployed and 11.6 per cent. are long-term unemployed, compared with an average in Northern Ireland of 9.3 and 4.2 per cent. respectively. In the New Lodge ward, which is predominantly and overwhelmingly nationalist and Roman Catholic, 62 per cent. of households are in receipt of housing benefit, compared with a Northern Ireland average of 24 per cent. Those figures highlight the levels of deprivation and social need--problems which have been exacerbated by and have undoubtedly been a contributory factor in the high levels of violence and terrorism that the constituency has witnessed over the past 30 years. I sought election to the House because I believe in the need to bring regeneration and renewal in place of decline and deprivation, in the form of more jobs, better training and skills provision, better housing, provision for our young people, better education, better health provision, and a better and cleaner environment. That is what people, whether they are Protestant or Roman Catholic, whatever their background, are demanding; it is what they deserve. Progress is being made, but Members will be aware of the current problems in my constituency. Members will be aware that in recent days we have again seen street confrontation, violence, the police out having to defend communities--even the Army having to be called in to give back-up to the Royal Ulster Constabulary. Yesterday I had the sad task of having to stand in a local Presbyterian church in my constituency that has been the target of arsonists, as has a Roman Catholic chapel in a neighbouring constituency. All those attacks are deplorable, and I hope that the talks that are going on between communities to try to resolve these issues will be successful. However, people I meet in my constituency repeatedly ask me why, when in other parts of the United Kingdom there is a demand for more policing--more policemen and women on the beat--in Northern Ireland the police service is being demoralised and decimated and its numbers reduced as a result of the implementation of the Patten proposals, under the terms of the Belfast agreement. The hon Member for Sunderland, South  mentioned the yob culture. Other Members have spoken about increasing crime. In north Belfast and other parts of the Province, we have a continuing terrorist threat. We have so-called dissidents perpetrating violence. We have all the problems of antisocial behaviour and crime that other constituencies have, made even worse because of paramilitary influence. And yet, uniquely, our police service has been cut. The numbers have been cut from 13,000 to 7,000. We have large-scale demoralisation and high levels of sickness.",dup,dup
15021,"On a point of order, Mr Amess. Have you have received any indication from the Home Secretary that she might be coming to the House tonight to make a statement on whether she believes that police tactics outside the House are proportionate? Many hundreds of students and schoolchildren have been kettled for more than four hours and, according to the police, will be out there for several more hours in the freezing cold. Whatever one thinks about the student protest, holding people against their will for no reason is neither proportionate nor effective.",green,labour
13385,"I am grateful to the right hon Gentleman for giving way, particularly bearing in mind what an effective Minister he was. I am sure it is a great loss that he is no longer one. Surely section 44 has been grossly abused. I was stopped and detained on suspicion of terrorism for taking a photograph of some roadworks near my local railway station. Perhaps I should have said that it was wrong to stop me, a Member of Parliament, from going about my parliamentary duties by using that law against me.",independent,liberal-democrat
4946,"If it is the demands of the Belfast agreement that prevent the restoration of a devolved and democratic Government in Northern Ireland, is it possible that it is the demands of the agreement that are at fault?",independent-conservative,dup
5432,"Is not that precisely what the Government want in respect of Florida, Colombia, Castlereagh and Stormontgate? They propose to take no action regarding those breaches, and no sanctions will be applied against Sinn Fein-IRA for the republican movement's involvement in all those matters. They are to be brushed under the carpet and forgotten about.",independent-ulster-unionist,dup
2531,"Patronising.My hon Friend will get to hear it all soon enough.I have now spent the best part of two years examining the future of our country's highly acclaimed and widely admired air traffic control service. In that time, I have visited the biggest control centre in the world at Heathrow airport, only a few miles from where I was born and where I once worked. I have spoken to pilots, controllers, managers, union representatives, air safety experts, Government Ministers and airline executives—  in fact, I have spoken to almost anyone and everyone connected with the industry. Above all, I have spoken to my constituents and the constituents of other hon Members who live directly under a flight path. Our skies are already overcrowded and the lives of those people may depend on the decisions that we take tonight. I have also spoken with my hon Friends, to whom, through you, Mr. Deputy Speaker, this short contribution is primarily addressed. Let us look back to just over a year ago. I was in the middle of organising groups of Labour Members who were desperately unhappy with what the Government were and still are proposing to do to air traffic control. The Paddington rail disaster had occurred. The wreckage was still being cleared from the tracks, and my constituents who survived that awful crash were trying to come to terms with the wreckage of their lives. I have lost count of the number of my hon Friends who spoke to me at the time; the conversations were always the same. They said, ""Surely the Government won't go ahead with the privatisation of air traffic control now. Surely they are bound to drop it. There must be a better way."" As we all know, they will, they are not and there is, so long as Labour Members who remain unconvinced do something about it and vote with our consciences and not, as we usually do, with our Whips. I can well understand the argument that is being put about by the Government's business managers that Labour Members should think carefully about supporting amendments proposed by the Conservatives in another place. It has a certain resonance; it appeals to the tribal core. But I would suggest that there is a more powerful argument that my hon Friends should weigh in the balance: what on earth is any Labour Member doing supporting a Tory proposal that we vehemently opposed at the last election? While the House of Lords, for as long as it remains unelected, has no political mandate, nor do this Government have a mandate to push through a privatisation that we opposed so publicly and that was the subject of that famous speech at the last Labour party conference before May 1997. Let us remember how we all applauded the Chief Secretary to the Treasury, my right hon Friend the Member for Oxford, East , and those carefully crafted arguments about commercial pressures compromising safety. We still hear those arguments from Government Ministers, but not today. 6.15 pm Let me take a moment to praise not only the contribution of my right hon Friend the Chief Secretary, but the highly efficient operation that has been mounted by the Government Whips Office. I have absolutely no doubt that the Government will win the vote tonight, but, as we all know, winning the vote and winning the argument are not necessarily the same thing. The case has not been made for this partprivatisation—not remotely. The Government have three clear objectives: first, to deliver an investment stream that is essential for the modernisation of the operation; secondly, to take National Air Traffic Services out of the public sector borrowing requirement; and thirdly, to invigorate the project management by bringing in private sector expertise so that the service would be in a position to   compete for a possible single European sky. All those objectives are entirely laudable and supportable, and entirely achievable without resorting to privatisation. That is the tragedy of the situation—we do not have to be here. A solution is at hand. It is tried and tested and it is the preferred option of the Select Committee. It has the support of everyone in the industry. It is, of course, a not for profit trust based on the Canadian model. Established in 1995, NAV Canada delivers the Government's objectives in spades. Financially, under current arrangements there is a 7 to 8 per cent. growth rate in air traffic. It is a highly profitable industry. Those running air traffic control in this or any western European country would have to try extremely hard not to make a profit or a surplus. In fact, NATS currently returns to the Treasury a surplus of between £30 million and £40 million annually. In 1998–99—these are the most recent figures I have available—NATS returned a pre-tax profit of £64 million. We need to modernise and we need private sector involvement, but let us not forget that the private sector involvement in Swanwick, which led to the delays and the fiasco, was carried out by none other than the US defence corporation Lockheed Martin, which is on the Government shortlist as a preferred strategic partner. Let me tell hon Members that when Lockheed Martin was in the frame for the running of AWE Aldermaston, which is just upwind and upstream from my constituency, I received an e-mail from someone in the United States with the simple words, ""God help you."" Lockheed Martin was the corporation responsible for Three Mile Island, a famous nuclear disaster. Its defence establishments have been suspended and are under investigation by the federal Government in the United States for breaches of safety procedures. I would suggest that it is not so much a case of biting the hand that feeds you, as of feeding the hand that bites you. Of course we want air traffic control to be taken out of the public sector borrowing requirement. That is an entirely laudable objective, and, as I have said before, entirely achievable. Why should air traffic control compete for hard-earned public cash with police officers, firefighters, the national health service and schools? No one wants that and there is no need for it. The Post Office investment plans are already outwith the Treasury rule. The borrowing requirements for some of our regional airports have already been exempted from the PSBR. The trust model delivers freedom from the Treasury's financial straitjacket. That point is not in dispute. In fact, NAV Canada was so successful that in its first year it raised from the market in the private sector $3 billion, twice the amount needed, according to Government calculations, to fund the UK's investment requirements for the next 10 years. NAV Canada has a board of directors who concentrate exclusively on the safety regime of national air traffic control. People with private sector expertise are involved, but they are balanced by representatives from the Government, the airlines and the unions, and some members of the board are independent. NAV Canada delivers gain without pain. Its structure works. I must therefore ask, as the Transport Sub-Committee has asked, why the Government are so against adopting it. I am aware that other hon Members want to participate in the debate, but I want to commend to the House the report from my colleague Lord Brett. He took the time and trouble to examine the Government's very derisory response to the trust option proposed by the Transport Sub-Committee. The report comprehensively demolishes the objections to the trust model. I hope that Ministers will return to it. As I said earlier, winning the vote does not necessarily mean winning the argument. Good politics is about taking people with us, but there is massive opposition in the Labour party to the proposals. The NATS PPP is not something that will appear on a pledge card, and no one who supports the Government in the Lobby tonight will be proud of proposals that no one will mention in an election manifesto or personal address. A vote will be taken, and many people will want to forget that they ever participated in it. The opposition in the Labour party is replicated out in the country. The latest poll shows that 76 per cent. of the population is against the proposals—hardly surprising after what happened at Paddington and Hatfield. Only 14 per cent. of people are in favour of the proposals to privatise air traffic control, which makes them more unpopular than fox hunting. We know what passion that issue arouses among Labour Members and out in the country. There is deep hostility to the proposals among pilots, who do not belong to a Marxist trade union and who are not a group of workers renowned for their militancy. There is implacable opposition from air traffic controllers—the men and women who have given us the safest, most efficient and best service in the world. We in this House make bad laws and bad decisions when we do not listen. We must remember the 75p pension rise and the poll tax. It is not too late, but the consequences of not listening when it comes to the future of air safety in this country are extremely serious.My hon Friend will forgive me if I do not; I have sought no interventions and have taken none. However, my hon Friend is allowed one heckle, if he so desires. I make no apologies for drawing parallels with the reduction in safety standards directly caused by the privatisation of the railways. I am genuinely worried that history is about to repeat itself. It is still not too late, and there is still time for the Government to listen.Does the Minister agree that the Prime Minister, the Chancellor, the Deputy Prime Minister and   other Members who are high up the ministerial ladder do count as Ministers? Many of us have engaged in intensive discussions on this matter for a long time.",labour,labour
28490,"In the light of that dramatic uncertainty, does my hon Friend agree that one thing the Government should do is to give a cast-iron guarantee that they will honour, post-Brexit, the environmental standards and undertakings that we have made in the EU to date?Will the Secretary of State confirm that the Government intend to honour their commitments to the environment as set out in EU directives in the past, so that standards do not slip from the current standards, whether on air quality, flooding or climate change, and does she agree that there should be legislation to say that these should become minimum standards?Does my hon Friend and colleague agree that one of the things that we found in the Committee’s study was, in essence, that the European Union is a union, which therefore has minimum standards that are ratcheted up? It does not allow individual members to undercut other members on the environment, which means that there is a platform across Europe, and across the globe as well, of best practice.Does my hon Friend agree that in the emerging recycling market across Europe, with us being at arm’s length and possibly facing tariffs, regulations and so on, people will invest in Europe rather than in Britain?What an absolutely fantastic, brilliant maiden speech we have just heard from my hon Friend the Member for Tooting . I have served in this House for 14 years, and I have to say that that is the best maiden speech I have ever heard. It was eloquent, moving and witty. It talked about Tooting, about history, and about where we are and where we are going. My hon Friend is a great credit to Tooting, and a great credit to her family. I know that her mother, Maria, is here, as are her brother, her best friend, Monique, her husband, Tudor, who I am very pleased to hear is from Neath in Wales—I hope to be sharing a Joe’s ice cream later in the summer if all goes well—and her supporters in the Gallery.  I will be mentioning the Mayor of London. It is fantastic to hear about Tooting and it is great to have the Mayor of London back with us today. This debate is about the environment. Our concern as we break free from Europe is that we will no longer have mandatory standards of air quality. I am very proud that Sadiq Khan, our Mayor of London, has made headway after two terms of, frankly, indolence from the previous Mayor in terms of making progress on air quality. There are about 9,500 premature deaths a year in London alone as a result of air pollution, largely from diesel cars and vehicles. The number across Britain, according to the Royal College of Physicians, is 40,000. We are talking about lung disease, heart disease and strokes, and problems for children, whether they are in the classroom or in the womb. I am very pleased that Sadiq Khan is present. I was with him last week when he launched his new air quality standards on the 60th anniversary of the Clean Air Act 1956, and I look forward to ultra-low emissions zones using the latest technology. The Minister may know of the new technology from America that uses lasers to count the emissions of each pollutant from each car, thereby setting standards for emissions standards. One of my main concerns about leaving Europe is that mandatory standards will no longer be enforceable in the courts. I am glad that ClientEarth is taking the Government to court to ensure that we deliver those standards. The fact that it has to take them to court shows that, left to our own devices, we are in danger of becoming the dirty man of Europe again, which was our embarrassing former status. The World Health Organisation has standards, but they are not enforceable. I hope that the Minister will say that we will sustain and  honour our commitments not just to air quality standards, but to all EU standards. We have a responsibility to make future laws ourselves, but unless they are integrated and harmonious they will not work as a platform to make the world a more sustainable place.That is a concern. I promoted the Air Quality  Bill to give more powers to local authorities, with Government support, to introduce more air quality zones and testing, and to encourage the use of trams and hydrogen and electric-driven transport systems. We need not just a series of zones that have to reach minimum standards, but improved air quality for all people across all our nations. We do not want the Government to pass the buck or to revert to becoming the dirty man of Europe again. We have had a lot of benefits from being in Europe. My constituency of Swansea West has some beautiful, blue flag beaches, and we do not want them to revert to becoming like the old low-tar and high-tar beaches of the past. Responsibility for research and development in environmental innovation is shared across Europe, but we are in danger of risking that. We were leaders at Kyoto from Europe, and we were leaders in Britain and throughout Europe on the elimination of chlorofluoro- carbons and on closing the hole in the ozone layer. We do not want to miss such opportunities in future, but I am sad to say that we are likely to do so. The Adaptation Sub-Committee of the Committee on Climate Change had a meeting today to discuss the latest problems with adaptation to climate change, including what we have to do in relation to flooding and changes in biodiversity, water supply, health, food and so on. We need to face those big challenges together, so I hope that the Minister will reassure us that we will be working together, not just floating off on our own and becoming worse and worse environmentally. The environment faces challenges from the negotiations on the Transatlantic Trade and Investment Partnership between the EU and the US. Now that we are leaving, we will find that we cannot veto, influence or change those negotiations; we will be a bystander and we will have to live by those rules, which at the moment do not protect the environment from investors. We run the risk of being fined by big fracking companies. Loan Pine sued Canada for hundreds of millions of dollars when there was a moratorium on fracking in Quebec. I do  not want that to happen in Wales, Scotland or elsewhere when companies are given the open door by the  new Administration. I am pleased and honoured to be a member of the Council of Europe. I am a rapporteur on both TTIP and fracking, and I hope that the advice from the thorough reports will be taken up by the Government. I am glad to say that I am also a member of the Environmental Audit Committee, and we have said that working together as one with Europe has to be good to retain standards. We do not want to see us undercutting other countries with regard to the environment for competitive reasons, which would bring everybody down. On climate change, it was agreed in Paris that we should set a target, using the 1750 baseline, for our world temperatures to go up by no more than 2 °C. We have already moved up 1 °C, and, on the basis of carbon dioxide that is in the pipeline, it has been calculated that the figure is already 1.5 °C up, which was the Paris aspiration. That means that we need to move towards zero-carbon technology and carbon capture. Regrettably and shamefully, however, the Government, even before leaving Europe, have abandoned their aspirations and plans for carbon capture. As an environmentalist, I am really concerned not just that we will become the dirty man of Europe, but that we will start playing dirty to reduce standards in order to attract jobs as we face tariffs, which is one of the inevitable consequences of the Brexit vote. I will present a Bill tomorrow on UK environmental protection and the maintenance of EU standards. It gives the Government the opportunity to sign up to at least keeping the current standards and to not sink back while the EU moves forwards. I hope that that will be agreed. I view the vote for Brexit with great regret. I hope that we will have a second referendum on the exit package, so that people will know precisely what they are voting for, and if it does not deliver on their reasonable expectations they will have the option of defaulting back to recover membership of the EU again. We will see how it goes. Government Members are shaking their heads, but I do not think that we should continue to walk into what may be an environmental disaster. Finally, I want to say once more that the hon Member for Tooting made a fantastic speech.On the related matter of where we are, is the hon Member as concerned as I am about the leakages of methane from fracking, which are 5%, given that methane is 83 times worse than CO2 in global warming?I can provide the hon Member with satellite evidence of this. The figure is somewhere between 3% and 8%, with the best judgment being that it is 5%. That makes it two and a half times worse than coal in terms of global warming.Does the Minister accept that there is still a case for a second referendum on the exit package and the precise terms of our leaving the EU? We have only agreed to leave in principle; people have not yet seen what is in the can.",labourco-operative,labour
16350,"Does the hon Gentleman accept that the key issue is about having elected people looking after policing? That was the common ground between our two parties. The outcome was not exactly as we would have liked, but it was a balance between the two options. Does he further agree that there is a problem at the moment, in that police authorities do not represent those on district councils? District councils do not have a direct input. In fact, does he think that police authorities, as they currently are, work well at all?The hon Gentleman will be aware that we have discussed that idea in another venue, along with how important ultra-local policing is and how it is different from governance at a higher level. However, I am trying to understand where he is heading. In Committee he proposed directly elected chairs of police authorities, so I am glad that he now prefers the Lib Dem model—I do not remember him saying that before the election, but it is nice to hear that he is moving our way. Why does he think that having a directly elected chair of a panel would be so different from having a single directly elected person who would also act across a whole area?Does the hon Gentleman think it is right that under the current system district councils such as Cambridge city council have no representation on the police authority at all?Thank you, Madam Deputy Speaker. I apologise for being confusing; I was trying to be helpful. It is a pleasure in many ways to continue the work that we did on the Bill Committee with many right hon and hon Members whom I see around the Chamber. These are slightly larger, grander surroundings than those in which we had our last, rather extensive, discussions.Indeed. We have had a fair discussion in Committee, and I am glad that we are continuing it. The shadow Minister spoke about a desire for delay, and I can understand why he sees that as his role. I am sure that the Minister will respond to the detailed points that he made. I was rather touched by the shadow Minister’s comment about how I would behave if I were in his position. He did not make it clear whether that was in a scenario where the Labour party had completely collapsed and was now a minor party, whether that had happened to the Conservatives, or whether there was a Labour-Conservative coalition. I am sure he can comment on that later. I want in particular to speak about Government amendment 14, which deals with a rather detailed point raised in Committee by my hon Friend the Member for Edinburgh West . It is a great pleasure to see him in his place. He spotted that lines 4 and 16 on page 22, in clause 30, did not quite fit together—that there was a drafting error. That led to an interesting discussion in which we genuinely explored some ideas—I think we all learned a lot—about what should be the process for suspending a police and crime commissioner, the standards and thresholds and the effects of such a suspension. There is an interesting balance to be struck as regards what should happen. The amendment corrects the drafting error and leaves the provision that a commissioner may be suspended by the panel—I emphasise that the term used is “may” rather than “must”—if charged with an offence that could lead to a term in prison of greater than two years. Is the balance right? First, the position of police and crime commissioner is very responsible and we would not want to see a holder of it being seriously investigated for a major crime, which would put them in a position that would simply be untenable in the public eye. On the one hand, one could suggest that we should bring the threshold lower and lower until, if we want to be absolutely sure, they would be suspended if they were accused of anything. I think that would be going too far, and I shall come up with a suggestion on that point a bit later. The flip side of the argument, however, is that such a commissioner has been charged, not convicted. There is a clear difference and a clear principle. Members on both sides of the House mentioned in Committee that we should not punish people excessively based on the fact that they have been charged. There is the principle of innocent until proven guilty that still applies to most public law—I shall avoid talking about terrorist offences on this occasion. Clause 30 says that during a suspension period, a commissioner does not draw their salary, their pensions or their allowances. That is a punishment, in effect. We had a number of discussions in Committee and the Liberal Democrats have had some discussions about our proposals on the way forward. We have also discussed that with the Minister. There is the question of what offences we wish to catch. My hon Friend the Member for Edinburgh West gave a number of examples of offences that would not be covered by the rules for the possible suspension in the context of offences with sentences greater than two years. I shall not go through every example, but they included racially or religiously aggravated assault or harassment, and I think we would have concerns about a police and crime commissioner who was charged with that. Other similar offences include aggravated vehicle taking, causing damage to property and causing injury. Vehicle taking without consent has a sentence of six months, as does assault on a police constable, as my hon Friend pointed out. One would have great concerns if a police and crime commissioner was being charged with assaulting police constables, particularly on a regular basis. That would suggest that the relationship was not working We must work out what to do. Our proposal—I hope that the Government will respond to it and will consider it as a way forward, and I look forward to hearing any other contributions—is that the period should be brought down from two years to six months, as suggested in the amendment originally proposed by my hon Friend. It should be specified that the charge should be carried out by the Crown Prosecution Service—by a prosecutor—rather than a police officer, as they have powers to charge in some circumstances. We do not want police constables to be able to get at a commissioner with whom they disagree over some issue. The flip side of bringing the threshold down to give greater public certainty is that there should be no loss of pay, no loss of pension and no loss of other allowances that would be incurred in the job—the person might not be doing that job during that period, but there might be some ongoing costs. That would avoid excessive punishment while providing public certainty that a prominent figure in such an area was not under a cloud and could not get out from under it. There should also be a provision, regardless of the threshold, for the commissioner to be able effectively to suspend themselves and to say that there is an allegation against—I was speaking about Government amendment 14, which I think is in this group.I had almost finished, Madam Deputy Speaker, and I shall do shortly. There was an interesting debate in Committee about whether we wanted just to correct the drafting order or to go further—I am happy to do so. I hope that the Government will consider what I have said as well as the self-suspension ideas.",liberal-democrat,liberal-democrat
